tokens read: 736 (442 winners, 294 dumps), 69 skipped for exceeding 40 signature pages
sources: {'record': 728, 'gecko': 8}
early buys parsed: 37582 by 22772 wallets
wallets early in 3+ distinct winners: 811; selection of a wallet that buys everything: 0.601

graded: 160 of 811 nominees
bar: tokens >= 20, hit >= 10.0%, hold >= 5.0 min, honest >= +10.0%

wallet     wins dumps   sel tokens  hit%  win%   real%  honest% hold_m   /day buy_sol  days     h1%     h2% pass
64hP97Bwr5   20     1  0.95    161  12.4  38.9    +5.0     +4.3    3.4  961.3   0.944  0.17    +3.9    +5.2 -
omegoMAe1A   15     0  1.00    118  12.7  44.2    +4.2     -2.2    3.7 1586.8   0.444  0.07    +5.8   -11.3 -
BwWK17cbHx   12    36  0.25     18  66.7  90.9    +6.5    -40.7    1.0 1800.0   0.028  0.00   -27.5   -56.9 -
SQHK48QT8S   11     1  0.92    203   5.4  40.6    +9.8     +8.1    4.6  835.4   0.961  0.24    +2.8   +16.1 -
ssssswdk4R   10     0  1.00     84  11.9  41.2    +2.4     +1.5    3.3 1125.0   0.199  0.07    -1.8    +1.9 -
BV6VvziipJ   10     1  0.91      9 111.1 100.0  +273.4   +273.4   96.2   39.4   0.021  0.23  +556.0   +34.4 -
NMVXLGSVrv   10     1  0.91     14  71.4 100.0  +285.3   +285.3  118.4   34.5  43.342  0.41  +427.1  +229.6 -
AJHY4fnkkY    9     0  1.00      0   0.0   0.0    +0.0     +0.0    0.0    0.0   0.000  0.00       -       - -
7gE3KAL2rF    9     0  1.00     11  81.8  33.3    +0.7     -1.7   12.7   57.1   1.632  0.19    -2.2    -2.5 -
8SKXAfr5zv    8     0  1.00     13  61.5   0.0    +0.0   -100.0    0.0   19.6   0.296  0.66  -100.0  -100.0 -
3pbGMwTGy7    8     0  1.00     14  57.1  60.0    +0.2     -2.2    7.3   67.5   1.521  0.21    -3.3    -2.6 -
91cszSKVMP    8     0  1.00     13  61.5  50.0    +0.8     -1.5   10.1   65.1   1.648  0.20    -0.5    -3.7 -
sssssDdMNA    8     0  1.00    104   7.7  43.8    +3.8     +0.9    5.0 1125.3   0.889  0.09    +6.8    -2.8 -
CTEAzw27eo    7     0  1.00     13  53.8   0.0    +0.0   -100.0    0.0   19.1   0.279  0.68  -100.0  -100.0 -
H6L5iCJMQr    7     0  1.00      2 350.0   0.0    +0.0   -100.0    0.0  200.0  30.312  0.00  -100.0  -100.0 -
4TRYRPwKNx    7     0  1.00     13  53.8   0.0    +0.8     -2.0   12.1   64.0   1.436  0.20    -2.5    -1.4 -
2eUd88Ghir    7     0  1.00     12  58.3   0.0    +0.0   -100.0    0.0   18.0   0.253  0.67  -100.0  -100.0 -
E5CAMHWGo9    7     0  1.00     18  38.9  10.0    -0.6     -2.4   11.2   60.7   1.160  0.30    -1.8    -2.9 -
EPnbFpE1NN    7     0  1.00     17  41.2 100.0  +103.5   +102.3   39.6   80.4   5.010  0.21   +40.6  +191.4 -
9w3cGd56kn    7     0  1.00     15  46.7  42.9    +0.9     -0.7   10.3   61.6   1.435  0.24    -0.7    -0.7 -
B1Ec85NhgJ    7     0  1.00     34  20.6 100.0   +53.9    +53.6    7.5  128.8  71.509  0.26   +42.8   +81.6 yes
6YnbMZKCgH    7     1  0.88     17  41.2   0.0    +0.7     -2.6    2.9   75.4   1.294  0.23    -3.0    -3.6 -
5YFhajnhLG    7     2  0.78     16  43.8  33.3    +0.8     -5.8   12.3   51.8   0.813  0.31    -3.8    -7.7 -
Fs9RN3wAsu    7    18  0.28    761   0.9 100.0    +7.9    -86.8  173.2 6190.0   0.002  0.12  -100.0  -100.0 -
4TTVBVtHAz    6     0  1.00     17  35.3  40.0    +0.3     -2.0   30.5   41.0   2.350  0.41    -2.4    -2.0 -
FZU56d9iPq    6     0  1.00    214   2.8  21.6    -6.9    -15.8    1.2  192.0   1.256  1.11   -13.4   -17.7 -
97GpfcwyEz    6     0  1.00     12  50.0   0.0    -1.0     -6.1   24.1   18.3   0.506  0.66    -5.8    -5.8 -
EpqC76WbRU    6     0  1.00     12  50.0   0.0    +0.0   -100.0    0.0   17.6   0.286  0.68  -100.0  -100.0 -
9PKwcLsehC    6     0  1.00      3 200.0   0.0    +0.0   -100.0    0.0   21.8   0.052  0.14  -100.0  -100.0 -
HnzwTZkS7t    6     0  1.00     10  60.0  66.7    -0.0     -2.0   21.0   46.6   2.789  0.21    -2.8    -1.9 -
4WxE3GAiFG    6     0  1.00     81   7.4  48.1    +2.0     +2.0    2.0  270.5   0.503  0.30    +0.9    +3.6 -
7Ct1abppC3    6     0  1.00     25  24.0  40.0    -3.4    -16.9   64.6   14.0   0.488  1.78   -15.1   -19.0 -
74NAhBbuYh    6     0  1.00    341   1.8  28.7    -2.1     -2.1    0.0 1198.2   0.103  0.28    -2.4    -1.5 -
668fx1pbM2    6     0  1.00     22  27.3  27.3    -0.4     -2.6    9.2   56.6   1.018  0.39    -2.9    -2.3 -
CVNB17X94K    6     0  1.00     14  42.9  50.0    +1.0     -3.2    7.5   52.5   0.909  0.27    -4.1    -2.9 -
4RDQVXd5CU    6     0  1.00     11  54.5   0.0    +0.0   -100.0    0.0   16.9   0.293  0.65  -100.0  -100.0 -
EkWdRztgSm    6     0  1.00      9  66.7   0.0    +0.0   -100.0    0.0   23.0   0.092  0.39  -100.0  -100.0 -
Fk9UFT6EVH    6     0  1.00     22  27.3  25.0    +0.3     -2.4    9.8   60.3   1.265  0.36    -1.8    -3.4 -
DeWqcNkq2g    6     0  1.00     12  50.0 100.0    +0.0     -6.3   43.7   19.5   0.508  0.62    -5.0    -9.1 -
A5UQsLm3LQ    6     0  1.00     13  46.2   0.0    +0.0   -100.0    0.0   31.3   0.378  0.42  -100.0  -100.0 -
DSS7PKPfT2    6     0  1.00      5 120.0   0.0    +0.0   -100.0    0.0   22.1   0.133  0.23  -100.0  -100.0 -
6UsCmhE6oL    6     1  0.86     19  31.6  60.0    -0.8     -2.6   11.2   98.2   2.380  0.19    -2.0    -4.0 -
CJBJza5oWh    6     1  0.86     10  60.0  40.0    +0.5     -0.5   24.4   44.4   3.315  0.23    -0.3    -0.8 -
CnPFcPxuHc    6     1  0.86     16  37.5  16.7    -1.3     -3.2   22.0   27.4   1.907  0.58    -4.9    -2.0 -
BW42QBt6Pb    6     1  0.86      8  75.0  25.0    +0.0     -1.2   20.9   43.9   1.974  0.18    +0.7    -2.6 -
2Mz7KTqzrM    6     1  0.86     20  30.0  25.0    +0.1     -3.0   15.4   41.0   1.411  0.49    -4.8    -2.4 -
7UfYrtss36    6     1  0.86     13  46.2  66.7    +0.1     -2.9   22.6   30.0   1.104  0.43    -4.6    -1.5 -
9yqLmFp9mC    6     1  0.86     15  40.0  14.3    -0.3     -1.8   25.5   40.6   1.554  0.37    -1.6    -3.0 -
ANy7wgHLw3    6     2  0.75     19  31.6  42.9    -0.2     -1.9    5.6   41.9   1.241  0.45    -2.2    -1.4 -
kiwiC4pg5m    6     2  0.75    769   0.8   0.0    +0.0   -100.0    0.0 3560.6   0.002  0.22  -100.0  -100.0 -
DYc1jL7enG    6     2  0.75     10  60.0  50.0    +1.3     -2.3    9.1   30.7   1.111  0.33    -1.5    -4.7 -
CVPhbRHpz4    6     2  0.75      7  85.7   0.0    +0.0   -100.0    0.0   83.0   0.058  0.08  -100.0  -100.0 -
3Eny8c6vUr    6     2  0.75      0   0.0   0.0    +0.0     +0.0    0.0    0.0   0.000  0.00       -       - -
8pgtJMGLJk    6     3  0.67     12  50.0   0.0    +0.0   -100.0    0.0   77.4   0.056  0.15  -100.0  -100.0 -
Co8WLAvxip    6     4  0.60      8  75.0   0.0    +0.0   -100.0    0.0   88.1   0.060  0.09  -100.0  -100.0 -
DH7hz5x4Kp    5     0  1.00     14  35.7  33.3    +1.3     -1.1    1.0   60.3   1.944  0.23    -2.5    -0.7 -
BDve94wdSW    5     0  1.00     18  27.8  75.0    +0.4     -2.0    8.0   46.9   1.299  0.38    -1.2    -2.3 -
4YPGt87Zdz    5     0  1.00     16  31.2  66.7    -1.0     -2.6    5.4   60.8   2.026  0.26    -1.8    -4.0 -
46zL6jUKQs    5     0  1.00     19  26.3  40.0    +1.2     -1.1   18.1   19.1   1.163  0.99    -0.7    -2.3 -
4V9tfoGjua    5     0  1.00     29  17.2  18.2    -0.7     -4.3   15.2   50.9   0.944  0.57    -5.0    -3.8 -
DgLT61daBe    5     0  1.00     16  31.2  33.3    +0.2     -2.1    8.1   40.7   1.344  0.39    -2.6    -1.6 -
Gqm7QHpDKd    5     0  1.00     45  11.1  38.9    +0.8     -3.8    3.6   48.4   0.733  0.93    -3.1    -4.4 -
DMeyRd7Vk7    5     0  1.00     22  22.7  83.3    +0.3     -2.3    8.5   40.2   1.032  0.55    -2.4    -2.3 -
EzbeF2bADK    5     0  1.00    145   3.4  19.7   -11.1    -26.0    1.5   91.5   2.024  1.58    +3.2   -28.1 -
2QgCB7kHaQ    5     0  1.00     19  26.3  50.0    -6.0    -17.1  168.7   11.5   0.515  1.66   -19.6   -11.9 -
ru8t8RNxaZ    5     0  1.00     12  41.7  20.0    -0.4     -4.2   64.3   18.7   0.666  0.64    -2.2    -7.2 -
5TQ3N5ziLE    5     0  1.00     35  14.3  42.9    +1.5     -3.2   64.7    8.2   1.050  4.28    -3.6    -2.7 -
DTB26qQTD5    5     0  1.00     13  38.5  50.0    -0.8     -4.5   63.6   19.4   0.652  0.67    -4.9    -4.5 -
6r455YHEcM    5     0  1.00    169   3.0  44.4    -1.3    -10.8    0.2   34.6   0.002  4.88   -10.5  -100.0 -
2UCwGxbSQv    5     0  1.00     15  33.3   0.0    +0.0   -100.0    0.0   17.4   0.128  0.86  -100.0  -100.0 -
EDPsCeiYzo    5     0  1.00     10  50.0  57.1    +0.0     -2.0    4.8   48.2   2.873  0.21    -3.4    -1.8 -
HgHjhwtKxE    5     0  1.00     11  45.5  80.0    +0.6     -1.7    5.5   57.1   1.962  0.19    -3.4    -0.7 -
6WfvYb92KV    5     0  1.00     17  29.4   0.0    +0.0     -1.8   20.6   27.7   0.679  0.61    -1.3   -11.4 -
CfUTaNtpY5    5     0  1.00      8  62.5  60.0    -0.1     -1.4    3.0   65.3   3.099  0.12    -0.5    -2.6 -
F8WZGj48qy    5     0  1.00      8  62.5  50.0    +0.5     -1.4   11.0   59.3   3.432  0.13    +0.2    -4.3 -
GyzRWe28Qo    5     0  1.00     11  45.5  50.0    +0.5     -2.5    9.8  127.3   3.375  0.09    -4.6    -1.6 -
5pbc9eWBok    5     0  1.00     25  20.0  41.7    +0.6     -1.7    4.6   49.4   0.755  0.51    -2.1    -1.6 -
