wallet,wins,dumps,selection,tokens,hit_pct,win_rate_pct,realized_pct,harsh_pct,hold_min,per_day,median_buy_sol,observed_days,harsh_first_half,harsh_second_half,swaps,passes,scan
64hP97Bwr5PubotcTeGgfhkFrGiLVVxT2kVo9M9b4AEz,20,1,0.952,161,12.4,38.9,5.0,4.3,3.4,961.3,0.944,0.17,3.9,5.2,909,,3
ssssswdk4RR8HqkE3uwUWzDbd6mXFTTPjcXBKNzQ57E,10,0,1.0,84,11.9,41.2,2.4,1.5,3.3,1125.0,0.199,0.07,-1.8,1.9,810,,3
AJHY4fnkkY85wp3rhwyGwbR8HFjuBfHc9HqboffXtyHm,9,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,3
8SKXAfr5zvZjzDYRiwGEXPvbTztSGa1FnSFGAzbWDtig,8,0,1.0,13,61.5,0.0,0.0,-100.0,0.0,19.6,0.2957,0.66,-100.0,-100.0,171,,3
CTEAzw27eoKMVKTpr5dxMF7Vcpgpv9ufDphZ9LsYLucE,7,0,1.0,13,53.8,0.0,0.0,-100.0,0.0,19.1,0.2793,0.68,-100.0,-100.0,239,,3
H6L5iCJMQrgjzZmqoUwwc5M9atnCQtMjNWLxKgwywYz9,7,0,1.0,2,350.0,0.0,0.0,-100.0,0.0,200.0,30.3123,0.0,-100.0,-100.0,2,,3
4TTVBVtHAzGL7btxr2h8GryJ69k8Q8uPGZsuvQV1hBEh,6,0,1.0,17,35.3,40.0,0.3,-2.0,30.5,41.0,2.3497,0.41,-2.4,-2.0,862,,3
FZU56d9iPqohXM5XBrYYBZLi2UoUnZT4V5Qf2631tEzb,6,0,1.0,214,2.8,21.6,-6.9,-15.8,1.2,192.0,1.2561,1.11,-13.4,-17.7,512,,3
97GpfcwyEz2VxtFrLsmajScRSzkTQ747p5xbgMAo1JY9,6,0,1.0,12,50.0,0.0,-1.0,-6.1,24.1,18.3,0.5057,0.66,-5.8,-5.8,946,,3
EpqC76WbRUMMjaDBkineGDVJaK9pafd3VuZCj5KcSqiL,6,0,1.0,12,50.0,0.0,0.0,-100.0,0.0,17.6,0.2864,0.68,-100.0,-100.0,219,,3
9PKwcLsehCryUjtJY1LbsK12myuKQiAQmv1Z93kNkuXU,6,0,1.0,3,200.0,0.0,0.0,-100.0,0.0,21.8,0.0522,0.14,-100.0,-100.0,174,,3
6UsCmhE6oLUUaGGy69hjVHH4nNKjvkbuy2cWKmqdEKmg,6,1,0.857,19,31.6,60.0,-0.8,-2.6,11.2,98.2,2.3799,0.19,-2.0,-4.0,796,,3
ANy7wgHLw3Ro2PUs56VgJDR4jWJ8ZszwtDqKce2YWuft,6,2,0.75,19,31.6,42.9,-0.2,-1.9,5.6,41.9,1.2414,0.45,-2.2,-1.4,843,,3
kiwiC4pg5mC4N5AhpXc4Av3V6oV7Sn2p3CqB7NeHbJJ,6,2,0.75,769,0.8,0.0,0.0,-100.0,0.0,3560.6,0.0019,0.22,-100.0,-100.0,931,,3
DH7hz5x4KpYqwoWtcyK8qm5VSqjvMCrNJoRVdKFDrZSL,5,0,1.0,14,35.7,33.3,1.3,-1.1,1.0,60.3,1.9443,0.23,-2.5,-0.7,767,,3
BDve94wdSWevoWocvtQN9wfrXQywMySP2Ee8SoNBDLZZ,5,0,1.0,18,27.8,75.0,0.4,-2.0,8.0,46.9,1.2991,0.38,-1.2,-2.3,784,,3
4YPGt87ZdzdJcVd3mJDnF2QtcKZcBgSZ3VtrhS8qwvqB,5,0,1.0,16,31.2,66.7,-1.0,-2.6,5.4,60.8,2.0257,0.26,-1.8,-4.0,790,,3
46zL6jUKQsU6FWQtCpQJUZbdnZSFNJTiAb81ke3DA5Cn,5,0,1.0,19,26.3,40.0,1.2,-1.1,18.1,19.1,1.1633,0.99,-0.7,-2.3,844,,3
4V9tfoGjuat8GNz5mJ5CmB7VUsDgPFvJFP2xsgjdVpbZ,5,0,1.0,29,17.2,18.2,-0.7,-4.3,15.2,50.9,0.9435,0.57,-5.0,-3.8,848,,3
DgLT61daBekYvMuSPK9Ya5ZXKrX8GKDnLj7tHBWQ23kx,5,0,1.0,16,31.2,33.3,0.2,-2.1,8.1,40.7,1.3444,0.39,-2.6,-1.6,838,,3
Gqm7QHpDKdNvvokzSj2DtowMTq29XVwnGu8FvFVNVUUv,5,0,1.0,45,11.1,38.9,0.8,-3.8,3.6,48.4,0.7333,0.93,-3.1,-4.4,848,,3
DMeyRd7Vk7HYvkEvPjRk3dhDQ6ys7ZjYfTGkt9kCLBGs,5,0,1.0,22,22.7,83.3,0.3,-2.3,8.5,40.2,1.0323,0.55,-2.4,-2.3,879,,3
EzbeF2bADKo6GutJyWmgodyGJFeBPhcrXSdZUXPX5WGc,5,0,1.0,145,3.4,19.7,-11.1,-26.0,1.5,91.5,2.0239,1.58,3.2,-28.1,881,,3
