ts,mint,symbol,arm,entry_lag_s,mint_authority,freeze_authority,top1_share,top5_share,holders_sampled,decimals,danger,holders_error,price_impact_pct,quoted_out,sol_in_lamports,tx_count,tx_span_s,tx_per_min,tx_capped,slot_dense_share,sig_n5m,source,boosts,m5_buys,m5_sells,buy_ratio_m5,h1_buys,h1_sells,vol_m5_usd,vol_h1_usd,chg_m5_pct,chg_h1_pct,liquidity_usd,mentions_15m,mentions_1h,authors_1h,reach_1h,dev_buy_sol,has_telegram,has_twitter,has_website
1788748680,5wwPbfPwiHXbrejgX5qQeMh5t8Q5wPgH1fkEyyVYpump,STONKTRUMP,organic,4301.0,False,False,,,0,6,,,2.421714719826199,5157429622,18814189,1000,176,340.91,True,0.229,1000,boost,100,497,590,0.842,8174,6103,21859.09,403728.19,-1.88,108.0,54861.26,,,,,,,,
1788748680,5wwPbfPwiHXbrejgX5qQeMh5t8Q5wPgH1fkEyyVYpump,STONKTRUMP,hotctl,4301.0,False,False,,,0,6,,,1.022523017181616,5007741587,18814189,1000,176,340.91,True,0.229,1000,boost,100,497,590,0.842,8174,6103,21859.09,403728.19,-1.88,108.0,54861.26,,,,,,,,
1788748680,CTALnV64vd1dkMxvtsuBgoYVhzB8tZ1XyRQFNS3ppump,TRONK,hotctl,4201.0,False,False,,,0,6,,,0.9199747908060503,1533563658,18814189,1000,163,368.1,True,0.328,1000,boost,500,796,514,1.549,15172,10093,6025.6,2254706.74,2.27,156.0,105139.74,,,,,,,,
1788748680,7Y7V1a4m2nWK7BMgbka5B4vR1pDvCK7yva3Hnrqkraze,Nasduck,hotctl,6678.0,False,False,,,0,6,,,0.8111408505636906,528803920,18814189,1000,3,,True,1.0,1000,dex,0,877,752,1.166,15265,13625,205878.88,3230341.23,10.69,58.05,198015.19,,,,,,,,
1788748680,ATDSqisE3TUcuZQmkpGivybDdqFxY2RL1Vepjrpppump,Caviar,hotctl,308.0,False,False,,,0,6,,,1.3786922086629314,42194246160,18814189,1000,18,3333.33,True,1.0,1000,dex,0,353,352,1.003,939,806,34755.08,92678.51,122.0,832.0,,,,,,,,,
1788748680,5wwPbfPwiHXbrejgX5qQeMh5t8Q5wPgH1fkEyyVYpump,STONKTRUMP,organic1h,4301.0,False,False,,,0,6,,,2.169441898973517,4622431703,18814189,1000,176,340.91,True,0.229,1000,boost,100,497,590,0.842,8174,6103,21859.09,403728.19,-1.88,108.0,54861.26,,,,,,,,
1788748680,5wwPbfPwiHXbrejgX5qQeMh5t8Q5wPgH1fkEyyVYpump,STONKTRUMP,hotctl1h,4301.0,False,False,,,0,6,,,0.836153707302856,4625998489,18814189,1000,176,340.91,True,0.229,1000,boost,100,497,590,0.842,8174,6103,21859.09,403728.19,-1.88,108.0,54861.26,,,,,,,,
1788748680,CTALnV64vd1dkMxvtsuBgoYVhzB8tZ1XyRQFNS3ppump,TRONK,hotctl1h,4201.0,False,False,,,0,6,,,0.7994926675759444,1523771549,18814189,1000,163,368.1,True,0.328,1000,boost,500,796,514,1.549,15172,10093,6025.6,2254706.74,2.27,156.0,105139.74,,,,,,,,
1788748680,7Y7V1a4m2nWK7BMgbka5B4vR1pDvCK7yva3Hnrqkraze,Nasduck,hotctl1h,6678.0,False,False,,,0,6,,,1.554399338508011,524644559,18814189,1000,3,,True,1.0,1000,dex,0,877,752,1.166,15265,13625,205878.88,3230341.23,10.69,58.05,198015.19,,,,,,,,
1788748680,ATDSqisE3TUcuZQmkpGivybDdqFxY2RL1Vepjrpppump,Caviar,hotctl1h,308.0,False,False,,,0,6,,,1.1178715747213188,29199241515,18814189,1000,18,3333.33,True,1.0,1000,dex,0,353,352,1.003,939,806,34755.08,92678.51,122.0,832.0,,,,,,,,,
