ts,mint,symbol,pool,age_hours,reserve_usd,gecko_price_usd,decision,reason
1787837895,X4PwJRDpaLvbMMzcNjxM62MmaoYRLLr725Drki2bHfg,ANTSEM,GkrFeqrBD7BA4x5LUii2RvSYjT4oQygvqQ5JqrG3KTrG,0.046,52719.6827,0.00013727685855249592,skip,loop_cap
1787837895,1DJ9FWiw2xJzkAft5eysWZQmGiNrGrie4PzCuT6pump,Z500,EjCLXKnrJxLMWK1zcvhEFqVcGauCSpB4BHJAmVdeQyoh,0.047,79306.7513,0.0005764200977441856,skip,loop_cap
1787837895,9Jm3AK2z1HDSVR5CpJsP6XvaBrwpqdhPvnwzMcLKpump,TRENCHLANA,EDKDYSHqXqLeJ9srkqZJvdH38uJarztkMxZZCZLG4h3N,0.027,12800.1417528081,4.325645782726663e-05,would_buy,dry_run
1787837895,BLJsQ9iZBahtjd7H2io2cXDV1psfq2RP46DeNYtyWN2Q,TRENCHLANA,DwRNU3Le29Z8Y5tmj4B3mNnZ4w6JqML2VLm95oB4eoya,0.03,7079.28261696109,1.2185015986268229e-05,would_buy,dry_run
1787838120,GLT6sUfLrsX6UkiiGjxkFAQKcTDb72rL7RHQdCx1pump,Swab,3ALaaNbjdA1o1JetuhGmCV9uSoNf4gpKanc1qt8XszEq,0.039,5039.69917292106,6.397784865498822e-06,would_buy,dry_run
1787838120,2nXHvMCd3cP9xPbieqJbE6bu7eNUNuL2fmRDS5eJpump,trumpump,94NoUfLzFEEmW4rjUZn3LoZRoT9MzT6CWf2GeCCf1eSx,0.043,6469.8403,1.6244997454830478e-05,would_buy,dry_run
1787838345,B6G6bTw7GrMComhNtHP6kuTPEfwU4tvwCU4HJ7Ujpump,Toad King,5rGQeg4GGcRSU2EAALV8Us3X54jSvEa8z9BH2vmhDhDe,0.051,7572.8208,4.9332567065556975e-05,skip,loop_cap
1787838345,9CuqPtCqKR29aKFQqSvShWPW7hB35q6XvGupgGDeM8No,MAN,5Sm6pmSoSCnvWz7eBYNNwn67mRMLfCqBqq1vpqupZLMK,0.055,41995.5906,0.00010624554355450095,skip,loop_cap
1787838345,9ouWdiuTciwzm3g1FVjRE8r86Bp1c8hvq3BXPqXysEfd,PAIRP,DiE1LiSqE13DzCSXBRAZBxWXeHRpfPi6hUddvCBDEJYH,0.041,5240.4327,4.785742710258105e-06,would_buy,dry_run
1787838345,GefHC2MvF9jWBx3Yj3PAeMeY4GysqQybixL3ZYPpump,Meow,By9v8m9mSG7wt3EXqa9nQ3xHn2u9BimwxxGHauBWqmfp,0.044,5557.5363,8.459273562694998e-06,would_buy,dry_run
1787838570,G2Vn7tHWLzKXbUm88QVEHare9mwBQFkguYj5vJfCg6DG,Soldog,8BPun53vYvk5Pe2JbdYNJueia7WHyyt9kdfwUicm4RhD,0.05,158977.304362197,0.00015897844799240662,would_buy,dry_run
