ts,mint,symbol,arm,entry_lag_s,mint_authority,freeze_authority,top1_share,top5_share,holders_sampled,decimals,danger,holders_error,price_impact_pct,quoted_out,sol_in_lamports,tx_count,tx_span_s,tx_per_min,tx_capped,source,boosts,m5_buys,m5_sells,buy_ratio_m5,h1_buys,h1_sells,vol_m5_usd,vol_h1_usd,chg_m5_pct,chg_h1_pct,liquidity_usd,mentions_15m,mentions_1h,authors_1h,reach_1h
1788317024,8Qfvj1APapPqDFvjD2hsGF6doD8BG4MKvboxFy8HU3za,PUMPFUN,wait120,199.7,False,False,,,0,6,,,1.3608379910347939,707824532886,20050666,6,6,60.0,False,dex,0,1,1,1.0,1,1,0.99,0.99,-0.03,-0.03,,,,,
1788317024,FcTHSM9fQdk4zdMg7yUYr1E8Um38hpw95Z8cFXf7pump,Tele,wait120,201.7,False,False,,,0,6,,,1.569364354217331,705037369717,20050666,2,0,,False,dex,0,1,0,1.0,1,0,5.9,5.9,,,,,,,
1788317024,3sNLzQ2qek3mZe2gFoEDS8hzTuZY3uEzPyn3nbUKx7qg,BAD,dexctl,823.7,False,False,,,0,9,,,0.8200546518730393,714863038741370,20050666,126,2958,2.56,False,boost,30,20,11,1.818,78,23,630.63,2160.42,-20.7,100.0,2938.69,,,,
1788317024,CgypxZcmmZMVQMERA6D59hkh8maPEnj31pYRKM9cpump,DICKBUTT,dexctl,33762.7,False,False,,,0,6,,,2.021292102969158,6539203033,20050666,1000,253,237.15,True,dex,0,13,20,0.65,1405,1291,1919.97,205031.15,7.03,67.16,53363.79,,,,
1788317024,CcR7JM6ZSeYxWmL2sN72CrZTSew3SQx25v1tTb6haQPx,Pumpjak,dexctl,498.7,False,False,,,0,6,,,1.0796374119618728,40119975531,20050666,1000,527,113.85,True,dex,0,396,111,3.568,796,228,2859.21,6284.96,36.05,397.0,,,,,
1788317024,8Qfvj1APapPqDFvjD2hsGF6doD8BG4MKvboxFy8HU3za,PUMPFUN,dexctl,199.7,False,False,,,0,6,,,1.456170615898896,707824532886,20050666,6,6,60.0,False,dex,0,1,1,1.0,1,1,0.99,0.99,-0.03,-0.03,,,,,
1788317024,FcTHSM9fQdk4zdMg7yUYr1E8Um38hpw95Z8cFXf7pump,Tele,dexctl,201.7,False,False,,,0,6,,,1.6666180935931911,705037369717,20050666,2,0,,False,dex,0,1,0,1.0,1,0,5.9,5.9,,,,,,,
1788317024,3sNLzQ2qek3mZe2gFoEDS8hzTuZY3uEzPyn3nbUKx7qg,BAD,boost,823.7,False,False,,,0,9,,,0.2360593812422609,632050950408853,20050666,126,2958,2.56,False,boost,30,20,11,1.818,78,23,630.63,2160.42,-20.7,100.0,2938.69,,,,
1788317024,3sNLzQ2qek3mZe2gFoEDS8hzTuZY3uEzPyn3nbUKx7qg,BAD,boost1h,823.7,False,False,,,0,9,,,0.23623336586908247,632050950408853,20050666,126,2958,2.56,False,boost,30,20,11,1.818,78,23,630.63,2160.42,-20.7,100.0,2938.69,,,,
1788317024,CcR7JM6ZSeYxWmL2sN72CrZTSew3SQx25v1tTb6haQPx,Pumpjak,surge,498.7,False,False,,,0,6,,,0.0,40017660979,20050666,1000,527,113.85,True,dex,0,396,111,3.568,796,228,2859.21,6284.96,36.05,397.0,,,,,
