ts,action,mint,symbol,pool,sol_lamports,token_raw,usd_value,gecko_price_usd,reason,signature,note
1788046377,buy,B7Q4Bu3gcgQ42TSTpJbhQbFj7GyWY5x2njYmCNy6pump,walkingaway,4QorRZAMXKTXEk3exSh6zyFU6PXL93A8NE5YohnJcrpY,141898675,1704999576405,15.0,8.701775191818775e-06,,5n7dutc99GetKA2U5mmmYof2cymwr9DPSEH8CsLftL26VNX2EZd6nyrpbYA5SKqajaHwpKM9weZfZLp6op92Rgm3,
1788046377,buy,3uE2EqvGxpk5QgfWZZEU8apQUbgKwasRgpZtHphQUJSg,STACY,Gfbv1ig7mmXdeMcQWcyskhFBrs8fgLRcYqQSruavtUuq,141898675,1092325843555,15.0,1.1381781912246766e-05,,2m7p9EvmpVv52kxRGTiD3nhRSge1zMbBNUMyiJTHJjmFUCMQ52z3fZJWtgnbLnq2HfRgNgYReS8ZDbjaYoWMicL8,
1788046602,buy_failed,WpPuZhJcqai25qbHbXWTfhL7jbJ9KwbJStThyEypump,USTF,6mG3j1b2cK5vWAGrNYve7KeAqNUTsDCKmnZoTUVYmy7k,,,,,,LXMBQ8mQ1fKyv3nHWZHTTVCqQ9LgsSuYaQ4hB6dqVjagEGu2kzwQ6sY2mCDYvCp356rFGAvP1dq2okqmcrPZ8QR,"unconfirmed, no tokens"
1788046602,buy,8naF92YSqymuuF5YcZfD4Zb1gTBwRUnfCs1s66KDpump,APESTACY,5i54CuGdkbYjPDLjEP99pf7dZtLoxxiUNSZ6ogGTWi1t,142048027,181995825152,15.0,0.00012268803355704888,,ACtaTXEEonMW536P8Ko9dMn8LQc6PbfyJm2a3UzFoMycVEo7PjTGzmVPyr4xnmD8msrckyyMVbpfukEsqADNtn7,
1788046897,buy_failed,EQgfDFHAMS5tEoFWPbCvrS5KN73qzJ6u9TSxmyxw1DGM,NVIDIA,ES2StkmPWtCzL3vnzm3wZYBExLX3TGkgBTiV4WL9qwDc,,,,,,3nNTaWAgFQgUqZoq4FSCSQv6ZUNNDyJKvNghd4dKdxub1JfoiJUF42VucBtna7mBmLhLBXpTyrVnRBGWnYcHDJp2,"unconfirmed, no tokens"
1788046897,buy,9qQSBYbRd4qqwZVdpsDuR2pcyff59VQAGFupGbPWpump,👀,9Eqn5jTEK7ScrECBGVjHV33CepNkZFVRUjskxWCr6Txp,141939698,4791861222926,15.0,7.777188102139096e-06,,3sYrLVLMzzss1WrCM1kWaHr4ZCBJwTdcYjABRSMZYjCFkPSZRDzBusAT3uKoKEdHc4AmesTUoTw8tapWCjCkFf5B,
1788047418,buy,CuWAv9T2qhp2nZEpePz5R9z6NyhkRCUirNMQi8Gvpump,ROCKET,7eGenZtqkaaaLXHSsox3PaTe7Zb1pgve4RGKDDz1YmTK,141870654,210099432371,15.0,5.98809321039303e-06,,3rzGkBBd6nvV4Bs1jPYheAhFALpAyx5DgXo8X5phVfbZyzDfT1kddXaKUQVfQardH1pcnJ1xqCgJPvGkCMvPW8oP,
1788047568,sell,8naF92YSqymuuF5YcZfD4Zb1gTBwRUnfCs1s66KDpump,APESTACY,5i54CuGdkbYjPDLjEP99pf7dZtLoxxiUNSZ6ogGTWi1t,,181995825152,31.2414,,tp,5rUqbEiy3d3vXiL8cVAESCEWyjk3sLRgmvWabuzKa8fNvPCUWsqzFEvRC4ESS36pYkrk8aZobs7KSctsQupm44aG,pnl_pct=108.3
1788047643,buy,EgqPe7oJAuARovviDbBuZNZNaGTXswJ7Gw3vzNNXpump,SpeedRun,Dexe2JwACcyX2dsuPFWUJ2z3HbrrpW8CAs85kvVuspD6,142026028,1539188436921,15.0,1.2542679637617517e-05,,4qvvKYpw6kSTRtKjXvxfZRDdiNYHLb8sBtdZP7N8psoixwCZuSpGMsC3TLEoRuTRUKB9mruQ5BUkTKuP56jqAFUB,
1788057321,sell,EgqPe7oJAuARovviDbBuZNZNaGTXswJ7Gw3vzNNXpump,SpeedRun,Dexe2JwACcyX2dsuPFWUJ2z3HbrrpW8CAs85kvVuspD6,,1539188436921,30.4356,,tp,3dYUomkqzKicTPRnV8tQ1Jw3MuGyxkCrGJ9fGiTtFLaqRRHfBcy17qoLuLYJkVrcp3xbPbM5i9iFBYPDARPvnn1T,pnl_pct=102.9
