mint,arm,entry_ts,ret,label,m5_buys,vol_m5_usd,pages,sig_n,sig_fail_share,slot_max_share,slot_dense_share,iat_cv,parsed_n,swap_n,buy_n,uniq_buyer_ratio,top_buyer_share,size_cv,size_dup_share,median_sol,wallets_checked,fresh_wallet_share,note
5Tnmpca6cJHG1m5SpATPVjqMXPWyrrbes1eQdJm3UG7G,surge,1788385405.0,-1.0,dump,1713.0,200741.39,13,4422,0.3673,0.0077,0.9231,0.271,40,40,26,0.8846,0.0769,1.0328,0.3462,0.21837,8,0.0,
9ejTnKG3MzDXzyJvAFcYbsbFGCBNuqn1mXa4qM5x6ZX9,surge,1788387006.0,-1.0,dump,930.0,125551.42,8,1618,0.3109,0.0068,0.5056,1.066,40,40,29,0.9655,0.069,1.5817,0.6207,0.002453,8,0.0,
8debVaBcMXVeHAZRU8Rz148fx7oLtTtaiDKFPy77RNPC,liqctl,1788387006.0,-1.0,dump,1192.0,137224.73,14,2345,0.3203,0.0051,0.7335,1.5535,40,40,32,0.9375,0.0625,1.1966,0.4062,0.289967,8,0.0,
7YUPrVYKnFyRK7HN9xBydNYVEhERtZsanA7fUR26M8ZA,surge,1788387633.0,1.98155,pump,924.0,121747.1,15,3606,0.4282,0.0114,0.9509,0.9856,40,40,32,0.9688,0.0625,1.0107,0.3438,0.254207,8,0.0,
8tQdgFUHRydkkpYAqJJ8cJHUvpCUwnySDBLNbLyMpump,surge,1788387633.0,-0.99975,dump,323.0,107332.21,3,498,0.0884,0.0402,0.2169,0.5291,40,39,21,0.9048,0.0952,3.3235,0.2857,0.026,8,0.0,
HZi7ZD442HffhnVc4dntUV3WkqYySMdki9N5mRUFJdWK,liqctl,1788387633.0,2.8205,pump,993.0,157220.45,23,1895,0.2955,0.0121,0.7842,1.5681,40,40,21,1.0,0.0476,0.8547,0.1429,0.363989,8,0.0,
Ja2N3QxtPocgbd531dB5mtAUB3FS8eYP3gRstTfVUB7,surge,1788388371.0,1.4092500000000001,pump,550.0,37134.08,17,769,0.2991,0.0117,0.2302,0.562,40,40,29,0.9655,0.069,2.5252,0.7241,0.002106,8,0.0,
8sV5X6X9qvSkxv8PF5PJVfD5X4mStUzpJjGr6BgVSwjt,wait120,1788389612.0,1.7291500000000002,pump,339.0,29864.93,13,1934,0.3862,0.0119,0.8325,0.9409,40,40,29,0.9655,0.069,1.0667,0.4483,0.210912,8,0.0,
E171KLQ65MskrkHyE5rRABLYJzhgxtywWJCLTN6pPzEv,surge,1788390213.0,1.6244999999999998,pump,312.0,9795.23,7,330,0.203,0.0394,0.0818,9.2439,40,40,33,1.0,0.0303,1.8095,0.7879,0.002113,8,0.0,
5wq6rbQeoj2Ps4WksqbLapXC4CGTNhQ57gU2Qq4NRsMA,launchctl,1788390747.0,1.3455,pump,1416.0,190687.34,13,2002,0.2158,0.0085,0.8886,1.2365,40,40,22,0.9091,0.0909,1.2407,0.4091,0.091697,8,0.0,
8fatCwUuH9uS3k9peBp2VCdj52YZF9CGKPphrfifYHez,launchctl,1788392273.0,1.0713,pump,672.0,217160.98,15,762,0.4121,0.0118,0.1706,0.7707,40,40,38,0.8158,0.0789,1.6945,0.4737,0.054287,8,0.0,
GNhF4n2RQM4UDo9dBs8cbVDQPvjYScSifvTHsysiPL7H,surge,1788392566.0,1.4313500000000001,pump,437.0,56793.69,7,652,0.2669,0.0061,0.0552,1.1086,40,40,36,1.0,0.0278,1.6873,0.5833,0.002116,8,0.0,
GbfGHd6e7d424UKySVHnCSYozaVs87nVJMqihCL6grZo,liqctl,1788392566.0,-1.0,dump,323.0,77847.4,4,1087,0.1858,0.0055,0.0386,0.4152,40,40,11,1.0,0.0909,0.3829,0.0,1.854373,8,0.0,
84BjR2SUQWGq7WjwSrxhpMv4HwBqDawV38kDhurV4tpL,liqctl,1788392566.0,3.2864000000000004,pump,1159.0,161349.25,27,2490,0.2285,0.008,0.9084,1.2433,40,40,21,0.9048,0.0952,0.7552,0.1905,0.452727,8,0.0,
2FFxB1xMD3uCmKc1fdB84aFLH3p8sJGEN2uubLUFzFUi,wait120,1788393727.0,-1.0,dump,339.0,53826.68,5,1697,0.3577,0.0165,0.6824,0.9096,40,40,31,0.9355,0.0645,1.1091,0.3871,0.179097,8,0.0,
